Player,Tm,Salary,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Curry,GSW,51915615.00,PG,34,56,56,1941,559,1133,0.493,273,639,0.427,286,494,0.579,0.614,257,281,0.915,39,302,341,352,52,20,179,117,1648
Kevin Durant,PHO,47649433.00,PF,34,8,8,269,73,128,0.57,22,41,0.537,51,87,0.586,0.656,40,48,0.833,3,48,51,28,2,10,20,7,208
Nikola Jokić,DEN,47607350.00,C,27,69,69,2323,646,1022,0.632,57,149,0.383,589,873,0.675,0.66,341,415,0.822,167,650,817,678,87,47,247,174,1690
Joel Embiid,PHI,47607350.00,C,28,66,66,2284,728,1328,0.548,66,200,0.33,662,1128,0.587,0.573,661,771,0.857,113,557,670,274,66,112,226,205,2183
LeBron James,LAL,47607350.00,PF,38,55,54,1954,609,1219,0.5,121,377,0.321,488,842,0.58,0.549,251,327,0.768,65,392,457,375,50,32,178,88,1590
Giannis Antetokounmpo,MIL,45640084.00,PF,28,63,63,2024,707,1278,0.553,47,171,0.275,660,1107,0.596,0.572,498,772,0.645,137,605,742,359,52,51,246,197,1959
Kawhi Leonard,LAC,45640084.00,SF,31,52,50,1748,446,871,0.512,104,250,0.416,342,621,0.551,0.572,243,279,0.871,57,281,338,204,72,28,88,84,1239
Paul George,LAC,45640084.00,SF,32,56,56,1939,459,1004,0.457,158,426,0.371,301,578,0.521,0.536,256,294,0.871,45,297,342,288,83,20,176,159,1332
Jimmy Butler,MIA,45183960.00,PF,33,64,64,2138,479,888,0.539,36,103,0.35,443,785,0.564,0.56,472,555,0.85,141,234,375,340,117,21,101,80,1466
Klay Thompson,GSW,43219440.00,SF,32,69,69,2279,546,1252,0.436,301,731,0.412,245,521,0.47,0.556,116,132,0.879,39,247,286,163,49,29,123,130,1509
Rudy Gobert,MIN,41000000.00,C,30,70,70,2148,360,546,0.659,0,3,0,360,543,0.663,0.659,219,340,0.644,231,583,814,87,56,95,122,210,939
Anthony Davis,LAL,40600080.00,C,29,56,54,1904,542,962,0.563,19,74,0.257,523,888,0.589,0.573,348,444,0.784,195,507,702,148,59,114,122,146,1451
Trae Young,ATL,40064220.00,PG,24,73,73,2541,597,1390,0.429,154,460,0.335,443,930,0.476,0.485,566,639,0.886,56,161,217,741,80,9,300,104,1914
Luka Dončić,DAL,40064220.00,PG,23,66,66,2391,719,1449,0.496,185,541,0.342,534,908,0.588,0.56,515,694,0.742,54,515,569,529,90,33,236,166,2138
Zach LaVine,CHI,40064220.00,SG,27,77,77,2768,673,1388,0.485,204,544,0.375,469,844,0.556,0.558,363,428,0.848,42,303,345,327,69,18,194,159,1913
Tobias Harris,PHI,39270150.00,SF,30,74,74,2436,423,845,0.501,126,324,0.389,297,521,0.57,0.575,113,129,0.876,67,357,424,186,68,40,89,149,1085
Ben Simmons,BRK,37893408.00,PG,26,42,33,1105,133,235,0.566,0,2,0,133,233,0.571,0.566,25,57,0.439,40,223,263,256,54,24,97,139,291
Pascal Siakam,TOR,37893408.00,PF,28,71,71,2652,630,1313,0.48,93,287,0.324,537,1026,0.523,0.515,367,474,0.774,131,425,556,415,65,36,169,228,1720
Kyrie Irving,DAL,37037037.00,SG,30,20,20,763,196,384,0.51,58,148,0.392,138,236,0.585,0.586,89,94,0.947,21,79,100,120,25,12,37,56,539
Devin Booker,PHO,36016200.00,SG,26,53,53,1835,527,1067,0.494,111,316,0.351,416,751,0.554,0.546,306,358,0.855,46,194,240,293,51,18,145,159,1471
Karl-Anthony Towns,MIN,36016200.00,PF,27,29,29,957,212,428,0.495,60,164,0.366,152,264,0.576,0.565,118,135,0.874,48,188,236,140,20,17,86,111,602
CJ McCollum,NOP,35802469.00,PG,31,75,75,2649,587,1344,0.437,211,543,0.389,376,801,0.469,0.515,183,238,0.769,55,273,328,429,70,38,183,153,1568
Zion Williamson,NOP,34005250.00,PF,22,29,29,956,285,469,0.608,7,19,0.368,278,450,0.618,0.615,177,248,0.714,58,144,202,133,32,16,99,65,754
Ja Morant,MEM,34005250.00,PG,23,61,59,1948,566,1214,0.466,92,300,0.307,474,914,0.519,0.504,372,497,0.748,61,296,357,493,66,16,206,100,1596
Darius Garland,CLE,34005250.00,PG,23,69,69,2447,522,1129,0.462,169,412,0.41,353,717,0.492,0.537,277,321,0.863,28,157,185,538,85,9,199,148,1490
Brandon Ingram,NOP,33833400.00,SF,25,45,45,1538,404,835,0.484,64,164,0.39,340,671,0.507,0.522,240,272,0.882,23,223,246,262,32,19,148,116,1112
Jamal Murray,DEN,33833400.00,PG,25,65,65,2133,473,1041,0.454,172,432,0.398,301,609,0.494,0.537,180,216,0.833,48,209,257,400,66,16,145,103,1298
Shai Gilgeous-Alexander,OKC,33386850.00,PG,24,68,68,2416,704,1381,0.51,58,168,0.345,646,1213,0.533,0.531,669,739,0.905,59,270,329,371,112,65,192,192,2135
Michael Porter Jr.,DEN,33386850.00,SF,24,62,62,1798,398,817,0.487,188,454,0.414,210,363,0.579,0.602,96,120,0.8,64,277,341,65,37,29,68,119,1080
Donovan Mitchell,CLE,33162030.00,SG,26,68,68,2432,679,1402,0.484,245,635,0.386,434,767,0.566,0.572,319,368,0.867,63,226,289,301,99,27,180,168,1922
De'Aaron Fox,SAC,32600060.00,PG,25,73,73,2435,682,1331,0.512,119,367,0.324,563,964,0.584,0.557,343,440,0.78,40,266,306,447,83,23,181,172,1826
Bam Adebayo,MIA,32600060.00,C,25,75,75,2598,602,1114,0.54,1,12,0.083,601,1102,0.545,0.541,324,402,0.806,184,504,688,240,88,61,187,208,1529
Jayson Tatum,BOS,32600060.00,SF,24,74,74,2732,727,1559,0.466,240,686,0.35,487,873,0.558,0.543,531,622,0.854,78,571,649,342,78,51,213,160,2225
Jaylen Brown,BOS,31830357.00,SF,26,67,67,2405,679,1383,0.491,163,487,0.335,516,896,0.576,0.55,263,344,0.765,78,381,459,232,75,26,197,172,1784
Gordon Hayward,CHO,31500000.00,SF,32,50,50,1577,276,581,0.475,52,160,0.325,224,421,0.532,0.52,129,159,0.811,33,182,215,206,42,12,99,70,733
Domantas Sabonis,SAC,30600000.00,C,26,79,79,2736,577,938,0.615,31,83,0.373,546,855,0.639,0.632,325,438,0.742,251,722,973,573,65,39,230,279,1510
Kyle Lowry,MIA,29682540.00,PG,36,55,44,1718,196,485,0.404,107,310,0.345,89,175,0.509,0.514,116,135,0.859,43,182,225,281,57,21,103,143,615
Khris Middleton,MIL,29320988.00,SF,31,33,19,801,177,406,0.436,51,162,0.315,126,244,0.516,0.499,92,102,0.902,28,112,140,163,23,5,71,68,497
DeMar DeRozan,CHI,28600000.00,SF,33,74,74,2682,657,1303,0.504,46,142,0.324,611,1161,0.526,0.522,456,523,0.872,34,309,343,377,83,36,153,186,1816
Julius Randle,NYK,28226880.00,PF,28,77,77,2737,658,1432,0.459,218,636,0.343,440,796,0.553,0.536,402,531,0.757,141,626,767,316,49,21,216,233,1936
Jerami Grant,POR,27586207.00,PF,28,63,63,2246,434,913,0.475,144,359,0.401,290,554,0.523,0.554,278,342,0.813,53,230,283,150,51,53,116,152,1290
Jaren Jackson Jr.,MEM,27102202.00,C,23,63,63,1787,416,822,0.506,100,282,0.355,316,540,0.585,0.567,241,306,0.788,108,318,426,60,65,189,107,227,1173
Tyler Herro,MIA,27000000.00,SG,23,67,67,2337,487,1109,0.439,203,537,0.378,284,572,0.497,0.531,170,182,0.934,27,333,360,280,51,16,158,101,1347
Jalen Brunson,NYK,26346666.00,PG,26,68,68,2379,587,1195,0.491,134,322,0.416,453,873,0.519,0.547,325,392,0.829,40,201,241,421,61,15,142,152,1633
Cameron Johnson,BRK,25679348.00,PF,26,25,25,770,141,301,0.468,58,156,0.372,83,145,0.572,0.565,74,87,0.851,20,100,120,52,35,8,27,54,414
Kyle Kuzma,WAS,25568182.00,PF,27,64,64,2239,512,1142,0.448,160,481,0.333,352,661,0.533,0.518,173,237,0.73,55,408,463,239,36,29,190,145,1357
Brook Lopez,MIL,25000000.00,C,34,78,78,2373,477,899,0.531,136,364,0.374,341,535,0.637,0.606,149,190,0.784,157,363,520,99,37,193,107,203,1239
Mike Conley,MIN,24360000.00,PG,35,24,24,753,108,235,0.46,58,138,0.42,50,97,0.515,0.583,63,73,0.863,16,59,75,120,29,4,29,45,337
Andrew Wiggins,GSW,24330357.00,SF,27,37,37,1190,250,529,0.473,89,225,0.396,161,304,0.53,0.557,44,72,0.611,61,125,186,85,45,28,48,107,633
Anfernee Simons,POR,24107143.00,SG,23,62,62,2171,467,1045,0.447,212,562,0.377,255,483,0.528,0.548,160,179,0.894,18,143,161,253,42,14,128,142,1306
RJ Barrett,NYK,23883929.00,SG,22,73,73,2475,510,1176,0.434,121,390,0.31,389,786,0.495,0.485,290,392,0.74,60,308,368,201,31,15,164,179,1431
Jordan Clarkson,UTA,23487629.00,SG,30,61,61,1988,458,1031,0.444,155,459,0.338,303,572,0.53,0.519,200,245,0.816,72,174,246,270,33,13,186,120,1271
Terry Rozier,CHO,23205221.00,SG,28,63,63,2221,493,1188,0.415,165,505,0.327,328,683,0.48,0.484,178,220,0.809,51,208,259,319,74,16,134,119,1329
Draymond Green,GSW,22321429.00,PF,32,73,73,2297,250,474,0.527,40,131,0.305,210,343,0.612,0.57,77,108,0.713,66,459,525,500,74,60,204,229,617
Aaron Gordon,DEN,22266182.00,PF,27,68,68,2055,429,761,0.564,60,173,0.347,369,588,0.628,0.603,191,314,0.608,164,282,446,203,54,51,98,129,1109
Mikal Bridges,BRK,21700000.00,SG,26,27,27,923,239,503,0.475,68,181,0.376,171,322,0.531,0.543,160,179,0.894,23,98,121,72,26,16,49,44,706
Myles Turner,IND,20975000.00,C,26,62,62,1825,402,733,0.548,93,249,0.373,309,484,0.638,0.612,216,276,0.783,88,378,466,89,36,140,103,215,1113
Clint Capela,ATL,20616000.00,C,28,65,63,1730,350,536,0.653,0,1,0,350,535,0.654,0.653,79,131,0.603,258,459,717,58,45,79,54,139,779
Spencer Dinwiddie,BRK,20357143.00,PG,29,26,26,917,144,356,0.404,43,149,0.289,101,207,0.488,0.465,98,123,0.797,9,98,107,236,28,8,55,63,429
De'Andre Hunter,ATL,20089286.00,SF,25,67,67,2126,379,822,0.461,100,286,0.35,279,536,0.521,0.522,171,207,0.826,46,238,284,94,35,17,82,199,1029
Keldon Johnson,SAS,20000000.00,SF,23,63,63,2063,503,1113,0.452,134,407,0.329,369,706,0.523,0.512,245,327,0.749,56,262,318,183,46,11,134,125,1385
Jarrett Allen,CLE,20000000.00,C,24,68,68,2220,403,626,0.644,1,10,0.1,402,616,0.653,0.645,162,221,0.733,221,445,666,113,54,84,93,153,969
Bojan Bogdanović,DET,20000000.00,PF,33,59,59,1893,430,882,0.488,145,353,0.411,285,529,0.539,0.57,268,303,0.884,36,187,223,152,34,8,135,113,1273
Jakob Poeltl,TOR,19500000.00,C,27,26,25,707,150,230,0.652,0,0,,150,230,0.652,0.652,41,72,0.569,84,153,237,56,30,34,29,77,341
Buddy Hield,IND,19279841.00,SF,30,80,73,2482,475,1038,0.458,288,677,0.425,187,361,0.518,0.596,106,129,0.822,67,333,400,225,92,26,139,156,1344
Evan Fournier,NYK,18857143.00,SG,30,27,7,459,56,166,0.337,35,114,0.307,21,52,0.404,0.443,18,21,0.857,4,45,49,36,16,3,22,46,165
Bogdan Bogdanović,ATL,18700000.00,SG,30,54,9,1508,273,611,0.447,146,360,0.406,127,251,0.506,0.566,64,77,0.831,23,142,165,150,43,18,65,86,756
OG Anunoby,TOR,18642857.00,SF,25,67,67,2386,421,885,0.476,142,367,0.387,279,518,0.539,0.556,140,167,0.838,95,237,332,131,128,50,132,200,1124
Gary Trent Jr.,TOR,18560000.00,SG,24,66,44,2118,405,935,0.433,166,450,0.369,239,485,0.493,0.522,172,205,0.839,30,143,173,106,104,14,55,102,1148
Nikola Vučević,CHI,18518519.00,C,32,82,82,2746,597,1148,0.52,121,347,0.349,476,801,0.594,0.573,132,158,0.835,159,744,903,265,60,57,139,179,1447
Derrick White,BOS,18357143.00,SG,28,82,70,2319,350,758,0.462,149,391,0.381,201,367,0.548,0.56,168,192,0.875,52,241,293,321,54,76,95,177,1017
Dejounte Murray,ATL,18214000.00,SG,26,74,74,2693,612,1319,0.464,133,387,0.344,479,932,0.514,0.514,158,190,0.832,53,336,389,448,112,19,160,106,1515
Duncan Robinson,MIA,18154000.00,SF,28,42,1,691,88,237,0.371,63,192,0.328,25,45,0.556,0.504,29,32,0.906,8,61,69,46,14,0,28,77,268
Norman Powell,LAC,18000000.00,SG,29,60,8,1567,340,710,0.479,114,287,0.397,226,423,0.534,0.559,225,277,0.812,24,151,175,109,50,18,101,125,1019
Tim Hardaway Jr.,DAL,17897728.00,SF,30,71,45,2152,340,847,0.401,212,550,0.385,128,297,0.431,0.527,127,165,0.77,21,230,251,129,49,12,60,120,1019
Jonathan Isaac,ORL,17400000.00,PF,25,11,0,124,22,53,0.415,6,15,0.4,16,38,0.421,0.472,5,9,0.556,15,29,44,6,14,4,4,5,55
Collin Sexton,UTA,17325000.00,PG,24,48,15,1145,237,468,0.506,48,122,0.393,189,346,0.546,0.558,163,199,0.819,37,68,105,138,27,6,85,112,685
D'Angelo Russell,LAL,17307693.00,PG,26,17,17,526,107,221,0.484,46,111,0.414,61,110,0.555,0.588,36,49,0.735,7,43,50,103,10,8,39,23,296
Lauri Markkanen,UTA,17259999.00,PF,25,66,66,2273,571,1145,0.499,200,511,0.391,371,634,0.585,0.586,349,399,0.875,130,440,570,123,42,38,127,137,1691
Harrison Barnes,SAC,17000000.00,PF,30,82,82,2662,374,791,0.473,132,353,0.374,242,438,0.553,0.556,350,413,0.847,87,279,366,128,57,10,86,103,1230
Markelle Fultz,ORL,17000000.00,PG,24,60,60,1778,349,679,0.514,27,87,0.31,322,592,0.544,0.534,112,143,0.783,69,165,234,341,87,26,139,131,837
P.J. Washington,CHO,16847826.00,PF,24,73,73,2380,434,978,0.444,149,428,0.348,285,550,0.518,0.52,127,174,0.73,73,285,358,175,66,79,110,193,1144
Rui Hachimura,LAL,15740741.00,PF,24,33,9,738,126,260,0.485,21,71,0.296,105,189,0.556,0.525,44,61,0.721,34,121,155,23,8,14,17,33,317
Mitchell Robinson,NYK,15681818.00,C,24,59,58,1591,188,280,0.671,0,0,,188,280,0.671,0.671,59,122,0.484,267,288,555,53,56,109,41,160,435
Kevin Huerter,SAC,15669643.00,SG,24,75,75,2203,420,866,0.485,205,510,0.402,215,356,0.604,0.603,95,131,0.725,42,209,251,221,80,24,97,181,1140
Jonas Valančiūnas,NOP,15435000.00,C,30,79,79,1968,446,816,0.547,38,109,0.349,408,707,0.577,0.57,185,224,0.826,225,579,804,140,20,52,159,245,1115
Caris LeVert,CLE,15384616.00,SG,28,74,30,2237,320,742,0.431,127,324,0.392,193,418,0.462,0.517,130,180,0.722,53,229,282,287,72,24,116,170,897
Luguentz Dort,OKC,15277778.00,SF,23,74,73,2272,339,873,0.388,135,409,0.33,204,464,0.44,0.466,200,259,0.772,128,216,344,154,75,23,92,243,1013
Luke Kennard,MEM,14763636.00,SG,26,24,3,590,90,171,0.526,74,137,0.54,16,34,0.471,0.743,18,19,0.947,9,66,75,54,13,1,16,35,272
Kentavious Caldwell-Pope,DEN,14704938.00,SG,29,76,76,2381,292,632,0.462,135,319,0.423,157,313,0.502,0.569,103,125,0.824,35,173,208,183,112,35,86,145,822
Dorian Finney-Smith,BRK,13932008.00,PF,29,26,26,721,67,191,0.351,37,121,0.306,30,70,0.429,0.448,15,19,0.789,47,81,128,41,17,16,26,64,186
Doug McDermott,SAS,13750000.00,SF,31,64,0,1314,239,523,0.457,123,298,0.413,116,225,0.516,0.575,53,70,0.757,24,115,139,91,13,6,58,118,654
Anthony Edwards,MIN,13534817.00,SG,21,79,79,2842,707,1541,0.459,213,578,0.369,494,963,0.513,0.528,319,422,0.756,47,411,458,350,125,58,259,186,1946
Wendell Carter Jr.,ORL,13050000.00,C,23,57,54,1690,322,613,0.525,80,225,0.356,242,388,0.624,0.591,144,195,0.738,120,377,497,132,30,33,106,159,868
Gary Harris,ORL,13000000.00,SG,28,48,42,1184,138,307,0.45,94,218,0.431,44,89,0.494,0.603,27,30,0.9,21,77,98,59,45,12,28,93,397
Josh Hart,NYK,12960000.00,SF,27,25,1,750,92,157,0.586,27,52,0.519,65,105,0.619,0.672,45,57,0.789,47,129,176,90,34,12,38,62,256
Naz Reid,MIN,12950400.00,C,23,68,11,1251,310,577,0.537,75,217,0.346,235,360,0.653,0.602,86,127,0.677,73,260,333,77,42,53,92,176,781
Steven Adams,MEM,12600000.00,C,29,42,42,1133,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361
Brandon Clarke,MEM,12500000.00,PF,26,56,8,1090,229,349,0.656,1,6,0.167,228,343,0.665,0.658,99,137,0.723,92,218,310,72,34,37,55,131,558
Marvin Bagley III,DET,12500000.00,C,23,42,25,990,202,382,0.529,19,66,0.288,183,316,0.579,0.554,81,108,0.75,94,175,269,36,19,30,46,81,504
Daniel Gafford,WAS,12402000.00,C,24,78,47,1604,289,395,0.732,0,0,,289,395,0.732,0.732,127,187,0.679,163,270,433,84,33,99,85,187,705
Kelly Olynyk,UTA,12195122.00,C,31,68,68,1942,278,557,0.499,93,236,0.394,185,321,0.576,0.583,198,232,0.853,82,338,420,252,60,37,168,232,847
James Wiseman,DET,12119440.00,C,21,24,22,605,130,245,0.531,3,18,0.167,127,227,0.559,0.537,42,59,0.712,55,139,194,16,4,20,37,69,305
Devonte' Graham,SAS,12100000.00,PG,27,20,8,527,76,200,0.38,53,148,0.358,23,52,0.442,0.513,54,72,0.75,7,43,50,80,15,6,26,31,259
Herbert Jones,NOP,12015150.00,PF,24,66,66,1951,235,501,0.469,56,167,0.335,179,334,0.536,0.525,123,161,0.764,97,172,269,162,103,42,88,208,649
Austin Reaves,LAL,12015150.00,SG,24,64,22,1843,259,490,0.529,86,216,0.398,173,274,0.631,0.616,229,265,0.864,33,160,193,215,33,19,99,108,833
Chris Boucher,TOR,11750000.00,PF,30,76,0,1523,261,529,0.493,62,189,0.328,199,340,0.585,0.552,128,168,0.762,157,264,421,29,47,64,41,143,712
Bobby Portis,MIL,11710818.00,PF,27,70,22,1818,398,803,0.496,95,257,0.37,303,546,0.555,0.555,96,125,0.768,154,518,672,105,29,16,81,115,987
Paolo Banchero,ORL,11608080.00,PF,20,72,72,2430,479,1122,0.427,85,285,0.298,394,837,0.471,0.465,394,534,0.738,84,413,497,269,60,39,200,160,1437
Coby White,CHI,11111111.00,SG,22,74,2,1730,263,594,0.443,128,344,0.372,135,250,0.54,0.551,61,70,0.871,16,196,212,204,54,6,74,122,715
Cade Cunningham,DET,11055360.00,PG,21,12,12,400,93,224,0.415,17,61,0.279,76,163,0.466,0.453,36,43,0.837,12,62,74,72,10,7,39,34,239
Talen Horton-Tucker,UTA,11020000.00,SG,22,65,20,1313,257,613,0.419,58,203,0.286,199,410,0.485,0.467,126,168,0.75,41,169,210,246,41,29,126,108,698
Maxi Kleber,DAL,11000000.00,PF,31,37,5,930,77,169,0.456,39,112,0.348,38,57,0.667,0.571,27,38,0.711,30,105,135,52,12,30,27,85,220
Ivica Zubac,LAC,10933333.00,C,25,76,76,2170,326,514,0.634,0,2,0,326,512,0.637,0.634,166,238,0.697,236,520,756,77,29,98,117,219,818
LaMelo Ball,CHO,10900635.00,PG,21,36,36,1268,296,721,0.411,144,383,0.376,152,338,0.45,0.51,102,122,0.836,42,189,231,304,46,11,129,118,838
Terance Mann,LAC,10576923.00,SG,26,81,36,1872,272,524,0.519,77,198,0.389,195,326,0.598,0.593,92,118,0.78,77,199,276,184,42,22,80,149,713
Matisse Thybulle,POR,10500000.00,SG,25,22,22,609,60,137,0.438,33,85,0.388,27,52,0.519,0.558,10,16,0.625,20,57,77,30,38,18,16,48,163
Alec Burks,DET,10489600.00,SG,31,51,8,1122,200,459,0.436,99,239,0.414,101,220,0.459,0.544,153,188,0.814,19,139,158,114,38,8,58,98,652
Larry Nance Jr.,NOP,10375000.00,C,30,65,1,1381,186,305,0.61,14,42,0.333,172,263,0.654,0.633,55,79,0.696,106,248,354,119,56,37,42,133,441
Al Horford,BOS,10000000.00,C,36,63,63,1922,228,479,0.476,145,325,0.446,83,154,0.539,0.627,15,21,0.714,73,317,390,189,30,61,37,121,616
Malik Monk,SAC,9945830.00,SG,24,77,0,1719,357,796,0.448,143,398,0.359,214,398,0.538,0.538,184,207,0.889,32,171,203,298,49,20,146,125,1041
Tre Jones,SAS,9895833.00,PG,23,68,65,1984,341,743,0.459,45,158,0.285,296,585,0.506,0.489,148,172,0.86,56,189,245,448,89,9,110,98,875
Jalen Green,HOU,9891480.00,SG,20,76,76,2602,566,1359,0.416,187,554,0.338,379,805,0.471,0.485,364,463,0.786,43,241,284,281,59,18,200,131,1683
Patrick Williams,CHI,9835881.00,PF,21,82,65,2323,314,677,0.464,115,277,0.415,199,400,0.498,0.549,90,105,0.857,78,249,327,100,72,70,101,147,833
Nic Claxton,BRK,9625000.00,C,23,76,76,2271,414,587,0.705,0,2,0,414,585,0.708,0.705,133,246,0.541,184,518,702,144,65,189,96,212,961
Royce O'Neale,BRK,9500000.00,SF,29,76,53,2409,229,593,0.386,163,419,0.389,66,174,0.379,0.524,50,69,0.725,55,329,384,283,65,49,114,239,671
Alex Caruso,CHI,9460000.00,PG,28,67,36,1575,130,286,0.455,55,151,0.364,75,135,0.556,0.551,59,73,0.808,42,154,196,193,98,46,77,159,374
Pat Connaughton,MIL,9423869.00,SF,30,61,33,1443,165,421,0.392,109,322,0.339,56,99,0.566,0.521,27,41,0.659,50,233,283,77,37,11,33,69,466
Jabari Smith Jr.,HOU,9326520.00,PF,19,79,79,2451,364,892,0.408,120,391,0.307,244,501,0.487,0.475,162,206,0.786,122,447,569,101,43,74,104,227,1010
Isaiah Hartenstein,NYK,9245121.00,C,24,82,8,1626,175,327,0.535,8,37,0.216,167,290,0.576,0.547,48,71,0.676,209,327,536,102,53,64,66,213,406
Kyle Anderson,MIN,9219512.00,PF,29,69,46,1957,252,495,0.509,43,105,0.41,209,390,0.536,0.553,100,136,0.735,66,302,368,335,78,63,103,146,647
Isaac Okoro,CLE,8920795.00,SF,22,76,46,1652,175,354,0.494,62,171,0.363,113,183,0.617,0.582,78,103,0.757,52,135,187,87,56,30,42,158,490
Evan Mobley,CLE,8882640.00,PF,21,79,79,2715,525,947,0.554,22,102,0.216,503,845,0.595,0.566,205,304,0.674,187,524,711,224,60,119,146,218,1277
Gary Payton II,GSW,8715000.00,SG,30,7,0,112,17,28,0.607,4,9,0.444,13,19,0.684,0.679,2,3,0.667,14,16,30,8,6,4,4,14,40
T.J. McConnell,IND,8700000.00,PG,30,75,6,1526,283,521,0.543,26,59,0.441,257,462,0.556,0.568,58,68,0.853,45,189,234,397,81,10,143,105,650
Keegan Murray,SAC,8409000.00,SF,22,80,78,2382,354,782,0.453,206,501,0.411,148,281,0.527,0.584,62,81,0.765,89,282,371,98,61,42,60,162,976
Delon Wright,WAS,8195122.00,PG,30,50,14,1221,138,291,0.474,41,119,0.345,97,172,0.564,0.545,52,60,0.867,58,122,180,194,92,17,44,59,369
Onyeka Okongwu,ATL,8109063.00,C,22,80,18,1849,317,497,0.638,4,13,0.308,313,484,0.647,0.642,153,196,0.781,217,359,576,81,56,107,81,251,791
Scottie Barnes,TOR,8008680.00,SF,21,77,76,2678,463,1016,0.456,63,224,0.281,400,792,0.505,0.487,190,246,0.772,179,333,512,371,83,61,154,170,1179
Trey Lyles,SAC,8000000.00,PF,27,74,0,1247,187,408,0.458,87,240,0.363,100,168,0.595,0.565,101,124,0.815,68,232,300,66,27,31,64,97,562
